transaction_id,card_number,timestamp,merchant_category,merchant_type,merchant,amount,currency,country,city,city_size,card_type,card_present,device,channel,device_fingerprint,ip_address,distance_from_home,high_risk_merchant,transaction_hour,weekend_transaction,velocity_last_hour,is_fraud,user_id,account_number
TX_b7339d43,4555222233334444,2024-09-30 04:10:19.768113+00:00,Education,supplies,Chegg,187.65,AUD,Australia,Unknown City,medium,Basic Debit,False,Safari,web,423e898ab488464eea70d407383f50f3,103.123.168.94,0,False,4,False,"{'num_transactions': 404, 'total_amount': 8255782.422716125, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 1823094.4204564716}",False,U004,3000000001
TX_8c2c4e7f,4111222233334442,2024-09-30 01:29:26.878191+00:00,Gas,local,Local Gas Station,4.07,USD,USA,Philadelphia,medium,Platinum Credit,True,Chip Reader,pos,ed46e78c34cdc9ad745fa557039184ab,182.230.233.9,1,False,1,False,"{'num_transactions': 679, 'total_amount': 52819098.842566885, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 845756.5065592622}",True,U002,1000000002
TX_4a85349f,4111222233334441,2024-09-30 00:02:20.912694+00:00,Grocery,online,Instacart,24198.72,JPY,Japan,Unknown City,medium,Basic Debit,False,Chrome,web,4e368b6134b6165974d9aaf99f744410,117.203.245.161,0,False,0,False,"{'num_transactions': 1413, 'total_amount': 70051511.87797543, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2940543.270383781}",False,U001,1000000001
TX_dc8d0213,4555222233334444,2024-09-30 01:49:49.317271+00:00,Gas,major,Shell,3905.43,BRL,Brazil,Unknown City,medium,Platinum Credit,False,Chrome,web,14a9b62f996bf73684a17eba68aa1c75,197.110.63.151,1,False,1,False,"{'num_transactions': 161, 'total_amount': 5317546.3022166295, 'unique_merchants': 83, 'unique_countries': 11, 'max_single_amount': 917118.8476062212}",False,U004,3000000001
TX_fe07efa5,6011222233334445,2024-09-30 04:50:04.274978+00:00,Gas,local,Local Gas Station,606.21,AUD,Australia,Unknown City,medium,Basic Credit,False,iOS App,mobile,138d0a29fda6ed2af1d3a7930e363613,18.105.161.95,1,False,4,False,"{'num_transactions': 405, 'total_amount': 40167106.33905981, 'unique_merchants': 98, 'unique_countries': 12, 'max_single_amount': 2143288.194132787}",False,U005,1000000003
TX_dc974088,4111222233334442,2024-09-30 05:16:05.597617+00:00,Travel,transport,Lyft,86.01,EUR,France,Unknown City,medium,Basic Debit,False,iOS App,mobile,6c5d3e8adbdf864c393b4a3400bae2ef,32.154.218.57,0,True,5,False,"{'num_transactions': 1380, 'total_amount': 30284083.941278234, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1329353.0040814832}",False,U002,1000000002
TX_b5cff696,4111222233334441,2024-09-30 01:39:04.554290+00:00,Entertainment,events,AMC Theaters,249294.24,JPY,Japan,Unknown City,medium,Platinum Credit,False,iOS App,mobile,5a098213b634f4ab452f4da223765f5a,191.157.174.240,0,True,1,False,"{'num_transactions': 445, 'total_amount': 58244174.34975675, 'unique_merchants': 97, 'unique_countries': 12, 'max_single_amount': 3436282.4548210255}",False,U001,1000000001
TX_8efa7bee,4111222233334441,2024-09-30 06:18:34.868942+00:00,Grocery,online,Instacart,228.74,SGD,Singapore,Unknown City,medium,Basic Debit,False,Edge,web,0309391a84d7b35fc7cd94c7c06cea67,229.220.242.165,0,False,6,False,"{'num_transactions': 327, 'total_amount': 6988492.612890012, 'unique_merchants': 98, 'unique_countries': 12, 'max_single_amount': 986894.0349784527}",False,U001,1000000001
TX_1de88033,4111222233334442,2024-09-30 00:49:07.397090+00:00,Entertainment,streaming,Hulu,4635.12,RUB,Russia,Unknown City,medium,Basic Credit,False,Android App,mobile,1810db82191d3d5a63af1cf5607ba231,208.29.122.99,0,True,0,False,"{'num_transactions': 1394, 'total_amount': 60103276.31891792, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3533431.216426279}",False,U002,1000000002
TX_7d0b665a,5111222233334443,2024-09-30 04:33:19.515720+00:00,Healthcare,pharmacy,DuaneReade,617505.89,NGN,Nigeria,Unknown City,medium,Premium Debit,True,NFC Payment,pos,11092dbc1d7d309ebb78249df6776c50,8.217.121.25,1,False,4,False,"{'num_transactions': 682, 'total_amount': 25588838.422847643, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 5845970.592968316}",True,U003,2000000001
